index,data,issuerTicker
231,2023-09-13,AWH
232,2023-09-13,MIRM
233,2023-09-15,LXRX
234,2023-09-15,BBLG
235,2023-09-15,ATAI
236,2023-09-18,DOMH
237,2023-09-18,BLND
238,2023-09-18,HCWB
239,2023-09-20,ECOR
240,2023-09-20,EYEN
241,2023-09-20,NMRA
242,2023-09-21,NMRA
243,2023-09-21,HROW
244,2023-09-22,RYZB
245,2023-09-22,DNTH
246,2023-09-22,KA
247,2023-09-25,DOMH
248,2023-09-25,PYXS
249,2023-09-26,CURV
250,2023-09-27,NMRA
251,2023-09-28,FBIO
252,2023-09-29,GLSI
253,2023-09-29,NXGL
254,2023-09-29,SLNO
255,2023-09-29,NMRA
256,2023-09-29,PYXS
257,2023-10-02,ABEO
258,2023-10-02,PALI
259,2023-10-04,NKE
260,2023-10-04,DNTH
261,2023-10-05,IMNM
262,2023-10-05,CLSD
263,2023-10-09,LIXT
264,2023-10-09,BHVN
265,2023-10-11,BHVN
266,2023-10-11,VOXX
267,2023-10-13,ITOS
268,2023-10-13,CAPR
269,2023-10-13,NVCT
270,2023-10-19,SRRK
271,2023-10-19,ATXS
272,2023-10-23,PLX
273,2023-10-24,CUK
274,2023-10-30,GLSI
275,2023-11-06,RPTX
276,2023-11-08,CALC
277,2023-11-08,NMRA
278,2023-11-09,NARI
279,2023-11-09,NMRA
280,2023-11-10,AURA
281,2023-11-10,RANI
282,2023-11-10,PHAT
283,2023-11-14,LYRA
284,2023-11-15,ALPN
285,2023-11-15,NMRA
286,2023-11-15,GOSS
287,2023-11-15,JANX
288,2023-11-16,MORF
289,2023-11-16,CRGX
290,2023-11-20,RPTX
291,2023-11-20,KRON
292,2023-11-20,HRTX
293,2023-11-21,ITRM
294,2023-11-22,SGMT
295,2023-11-22,XERS
296,2023-11-22,AGL
297,2023-11-22,CRMD
298,2023-11-23,JSPR
299,2023-11-23,MDXG
300,2023-11-29,DOMH
301,2023-11-29,PRGO
302,2023-12-01,SABS
303,2023-12-01,BMY
304,2023-12-01,KA
305,2023-12-01,DOMH
306,2023-12-01,JSPR
307,2023-12-04,BIVI
308,2023-12-04,SILO
309,2023-12-04,RANI
310,2023-12-06,EYEN
311,2023-12-07,APLT
312,2023-12-08,NKGN
313,2023-12-08,BMY
314,2023-12-08,RANI
315,2023-12-11,SGMT
316,2023-12-11,LRMR
317,2023-12-11,SABS
318,2023-12-13,LIFE
319,2023-12-15,ACRX
320,2023-12-15,PTCT
321,2023-12-15,DOMH
322,2023-12-18,FBRX
323,2023-12-18,BLND
324,2023-12-20,VNRX
325,2023-12-22,TCRX
326,2023-12-22,CSBR
327,2023-12-25,DOMH
